날짜,서울시 일일 확진,서울시 일일 사망,전국 일일 확진,전국 일일 사망
2023-05-31,5987,6,24411,17
2023-05-30,3326,1,13529,7
2023-05-29,1393,1,6868,3
2023-05-28,1393,1,6868,3
2023-05-27,4078,0,17796,3
2023-05-26,4217,2,17933,15
2023-05-25,4435,2,19080,17
2023-05-24,5312,2,22961,17
2023-05-23,5362,1,21385,15
2023-05-22,1271,6,6798,12
2023-05-21,4196,1,16808,5
2023-05-20,4371,2,18106,5
2023-05-19,4634,2,19586,13
2023-05-18,5061,0,21797,18
2023-05-17,6050,4,26147,11
2023-05-16,6198,3,23680,13
2023-05-15,1429,2,7178,7
2023-05-14,4194,2,17403,6
2023-05-13,4574,2,19352,6
2023-05-12,5129,1,19989,8
2023-05-11,4856,3,20574,12
2023-05-10,5621,5,23521,23
2023-05-09,5745,5,21681,14
2023-05-08,1642,2,8164,7
2023-05-07,3763,2,14742,6
2023-05-06,2385,1,11801,3
2023-05-05,4650,1,18752,6
2023-05-04,4927,3,20146,7
2023-05-03,5137,1,20197,8
2023-05-02,3963,3,15741,10
2023-05-01,1112,2,5774,8
2023-04-30,3342,1,13614,5
2023-04-29,3663,0,14812,3
2023-04-28,3596,1,13791,11
2023-04-27,3724,3,14284,11
2023-04-26,4217,3,16383,15
2023-04-25,4147,0,14817,7
2023-04-24,1021,1,5027,8
2023-04-23,2963,0,11834,6
2023-04-22,3531,2,13765,5
2023-04-21,3482,0,13596,7
2023-04-20,3684,2,14094,9
2023-04-19,4253,1,16508,6
2023-04-18,4373,2,15173,10
2023-04-17,1057,1,4946,4
2023-04-16,2604,1,10188,4
2023-04-15,2921,0,11682,2
2023-04-14,3011,0,11651,5
2023-04-13,2817,2,11596,5
2023-04-12,3498,3,13926,14
2023-04-11,3488,4,12444,10
2023-04-10,828,1,4005,8
2023-04-09,2285,0,9553,2
2023-04-08,2589,0,10372,4
2023-04-07,2667,2,10735,9
2023-04-06,2887,3,12072,13
2023-04-05,3353,3,14465,7
2023-04-04,3588,3,13375,8
2023-04-03,842,1,4349,7
2023-04-02,2401,0,10523,5
2023-04-01,2523,1,10523,5
2023-03-31,2482,3,10368,10
2023-03-30,2735,2,11039,10
2023-03-29,2971,1,13134,14
2023-03-28,3116,0,12129,8
2023-03-27,773,1,4204,3
2023-03-26,,2,,3
2023-03-25,2268,1,10448,6
2023-03-24,2193,1,10283,10
2023-03-23,2467,2,11400,14
2023-03-22,2723,2,13081,9
2023-03-21,2842,1,12016,7
2023-03-20,689,1,3930,9
2023-03-19,1870,0,8807,3
2023-03-18,1927,1,9259,4
2023-03-17,1988,0,9065,7
2023-03-16,1979,1,9923,17
2023-03-15,2312,1,11899,10
2023-03-14,2398,0,11401,6
2023-03-13,690,1,4198,12
2023-03-12,1829,2,9342,7
2023-03-11,1978,0,10009,3
2023-03-10,2170,1,10335,12
2023-03-09,2131,0,10890,20
2023-03-08,2447,0,12798,12
2023-03-07,2748,3,12284,15
2023-03-06,734,2,4300,9
2023-03-05,2008,1,11246,0
2023-03-04,2214,1,11246,6
2023-03-03,2296,4,10408,11
2023-03-02,1200,2,7561,15
2023-03-01,2301,1,12291,11
2023-02-28,2326,3,10817,16
2023-02-27,623,1,4026,15
2023-02-26,1767,2,10055,11
2023-02-25,1922,3,10055,11
2023-02-24,1959,5,10051,20
2023-02-23,2116,1,10845,22
2023-02-22,2354,4,13082,14
2023-02-21,2503,1,11880,8
2023-02-20,704,1,4324,9
2023-02-19,1906,1,10274,12
2023-02-18,1980,3,10718,12
2023-02-17,2097,7,11436,28
2023-02-16,2282,1,12519,22
2023-02-15,2570,5,14957,24
2023-02-14,2703,4,14371,11
2023-02-13,746,2,5174,11
2023-02-12,2126,3,12051,23
2023-02-11,2292,2,12805,16
2023-02-10,2370,2,13504,17
2023-02-09,2460,8,14664,34
2023-02-08,2904,4,17934,22
2023-02-07,3046,2,16120,10
2023-02-06,815,3,5850,18
2023-02-05,2299,4,14018,22
2023-02-04,2440,1,14624,22
2023-02-03,2551,4,14961,30
2023-02-02,2884,4,16862,36
2023-02-01,3276,4,20420,42
2023-01-31,3696,3,19629,24
2023-01-30,922,4,7416,30
2023-01-29,2924,6,18871,29
2023-01-28,4065,6,23612,29
2023-01-27,5081,5,31711,36
2023-01-26,6815,3,35096,26
2023-01-25,3187,1,19538,25
2023-01-24,2127,1,12262,10
2023-01-23,1439,5,9227,26
2023-01-22,2315,2,16624,24
2023-01-21,5161,5,27569,51
2023-01-20,5016,4,27408,30
2023-01-19,5501,9,29816,47
2023-01-18,6637,9,36908,43
2023-01-17,8550,3,33014,30
2023-01-16,2139,4,14144,35
2023-01-15,5749,6,32570,37
2023-01-14,6649,7,36699,45
2023-01-13,7203,6,39726,51
2023-01-12,7948,11,43953,76
2023-01-11,9534,17,54343,76
2023-01-10,12140,11,60041,44
2023-01-09,2850,4,19106,35
2023-01-08,7824,5,46766,34
2023-01-07,9925,10,53807,60
2023-01-06,10411,9,56954,75
2023-01-05,11510,9,64106,66
2023-01-04,13915,14,78575,54
2023-01-03,16966,5,81056,29
2023-01-02,3304,10,22735,53
2023-01-01,9990,3,57527,63
2022-12-31,11601,5,63104,61
2022-12-30,11668,8,65207,68
2022-12-29,13396,13,71427,76
2022-12-28,15783,10,87517,69
2022-12-27,18725,3,87596,50
2022-12-26,3585,8,25478,42
2022-12-25,10508,5,58448,46
2022-12-24,12083,11,66211,70
2022-12-23,12414,8,68168,63
2022-12-22,13946,10,75744,62
2022-12-21,15564,10,88172,59
2022-12-20,18223,12,87559,56
2022-12-19,4191,9,26622,39
2022-12-18,10649,9,58862,42
2022-12-17,12404,9,66930,55
2022-12-16,12402,8,66953,66
2022-12-15,12830,9,70154,58
2022-12-14,15180,7,84571,46
2022-12-13,17696,3,86852,29
2022-12-12,3910,3,25667,30
2022-12-11,9603,3,54319,40
2022-12-10,11690,8,62738,54
2022-12-09,11853,10,62734,67
2022-12-08,11977,9,65253,61
2022-12-07,13747,7,74714,54
2022-12-06,16372,7,77604,24
2022-12-05,3921,11,23160,40
2022-12-04,8526,7,46564,60
2022-12-03,10369,11,52861,48
2022-12-02,10487,5,52987,53
2022-12-01,11034,17,57079,62
2022-11-30,12290,11,67415,52
2022-11-29,15501,4,71476,41
2022-11-28,3794,13,22327,44
2022-11-27,9160,9,47028,39
2022-11-26,10161,5,52788,52
2022-11-25,10684,9,53698,55
2022-11-24,11456,14,59089,59
2022-11-23,13499,8,70324,53
2022-11-22,15613,11,72873,45
2022-11-21,3826,3,23091,35
2022-11-20,8804,5,46011,41
2022-11-19,10124,10,50589,65
2022-11-18,9742,12,49418,63
2022-11-17,10846,14,55437,67
2022-11-16,12483,10,66587,47
2022-11-15,15539,4,72883,39
2022-11-14,3649,5,23765,44
2022-11-13,9263,5,48465,48
2022-11-12,10836,12,54328,46
2022-11-11,10903,0,54519,40
2022-11-10,11073,6,55365,52
2022-11-09,12481,8,62472,59
2022-11-08,14158,3,62273,30
2022-11-07,3320,0,18671,18
2022-11-06,7163,3,36675,18
2022-11-05,8104,2,40903,41
2022-11-04,8677,5,43449,35
2022-11-03,9547,5,46896,41
2022-11-02,10940,4,54766,30
2022-11-01,13017,5,58379,33
2022-10-31,3099,5,18510,18
2022-10-30,6708,1,34511,27
2022-10-29,7578,3,37321,31
2022-10-28,7480,4,35924,31
2022-10-27,6848,3,34987,26
2022-10-26,7906,5,40842,26
2022-10-25,10066,5,43759,17
2022-10-24,2438,1,14302,10
2022-10-23,5176,1,26256,16
2022-10-22,6016,3,26906,22
2022-10-21,5061,3,24751,30
2022-10-20,5416,2,25431,23
2022-10-19,5897,6,29503,43
2022-10-18,7531,1,33248,6
2022-10-17,1921,2,11040,11
2022-10-16,4191,4,21469,32
2022-10-15,4579,5,22844,25
2022-10-14,4834,9,23583,35
2022-10-13,5254,0,26957,25
2022-10-12,6802,4,30535,15
2022-10-11,3054,1,15476,10
2022-10-10,1494,4,8981,23
2022-10-09,3552,5,17654,29
2022-10-08,3963,6,19431,32
2022-10-07,4319,6,22298,41
2022-10-06,5520,10,28648,29
2022-10-05,7674,2,34739,16
2022-10-04,3086,2,16423,19
2022-10-03,2025,0,12150,20
2022-10-02,4797,9,23597,44
2022-10-01,5584,5,26960,39
2022-09-30,5794,5,28497,42
2022-09-29,6270,6,30881,46
2022-09-28,7122,8,36159,46
2022-09-27,8557,3,39425,26
2022-09-26,2335,4,14168,33
2022-09-25,4888,11,25792,73
2022-09-24,5651,11,29353,63
2022-09-23,5625,8,29108,68
2022-09-22,6154,13,33009,59
2022-09-21,7358,13,41286,59
2022-09-20,9735,4,47917,24
2022-09-19,3199,6,19407,39
2022-09-18,5970,6,34764,46
2022-09-17,7659,7,43457,57
2022-09-16,9225,6,51874,60
2022-09-15,11819,7,71471,72
2022-09-14,17384,10,93981,60
2022-09-13,9552,4,57309,35
2022-09-12,6289,2,36938,22
2022-09-11,4807,13,28214,47
2022-09-10,6081,7,42724,48
2022-09-09,12315,13,69410,68
2022-09-08,13066,6,72646,64
2022-09-07,14538,13,85540,56
2022-09-06,18779,4,99837,44
2022-09-05,5319,6,37548,56
2022-09-04,11939,13,72144,79
2022-09-03,13899,14,79746,74
2022-09-02,15564,12,89586,64
2022-09-01,13325,23,81573,112
2022-08-31,15911,10,103961,75
2022-08-30,20418,6,115638,71
2022-08-29,5756,10,43142,49
2022-08-28,13052,11,85295,70
2022-08-27,14599,12,95604,86
2022-08-26,15757,14,101140,81
2022-08-25,17722,10,113371,108
2022-08-24,20578,4,139339,63
2022-08-23,25679,11,150258,52
2022-08-22,7395,6,59046,65
2022-08-21,16743,5,110944,64
2022-08-20,19973,14,129411,84
2022-08-19,21033,14,138812,83
2022-08-18,28375,6,178574,61
2022-08-17,32523,7,180803,42
2022-08-16,13060,6,84128,37
2022-08-15,8246,5,62078,50
2022-08-14,19596,10,119603,57
2022-08-13,21859,9,124592,67
2022-08-12,22835,17,128714,58
2022-08-11,24516,11,137241,59
2022-08-10,26068,10,151792,50
2022-08-09,29489,8,149897,40
2022-08-08,7867,7,55292,29
2022-08-07,18366,2,105507,27
2022-08-06,20160,9,110666,45
2022-08-05,20817,9,112901,47
2022-08-04,20239,6,107894,34
2022-08-03,23023,5,119922,26
2022-08-02,24615,4,111789,16
2022-08-01,7340,1,44689,21
2022-07-31,14149,5,73589,20
2022-07-30,16588,6,82002,35
2022-07-29,17517,4,85320,35
2022-07-28,18169,5,88384,25
2022-07-27,20083,5,100285,25
2022-07-26,23107,1,99327,17
2022-07-25,5967,5,35883,17
2022-07-24,13809,3,65433,18
2022-07-23,14830,4,68551,30
2022-07-22,15379,4,68632,31
2022-07-21,16670,4,71170,17
2022-07-20,17199,2,76402,12
2022-07-19,18038,0,73582,12
2022-07-18,4896,3,26299,11
2022-07-17,8565,2,40342,14
2022-07-16,9457,2,41310,16
2022-07-15,8951,2,38882,16
2022-07-14,9655,3,39196,16
2022-07-13,9363,2,40266,12
2022-07-12,9412,0,37360,7
2022-07-11,2622,2,12693,18
2022-07-10,5244,0,20410,19
2022-07-09,4900,2,20286,19
2022-07-08,4605,2,19323,12
2022-07-07,4580,1,18511,10
2022-07-06,4770,2,19371,7
2022-07-05,4779,1,18147,2
2022-07-04,1161,1,6253,4
2022-07-03,2440,2,10059,8
2022-07-02,2778,3,10715,7
2022-07-01,2340,2,9528,8
2022-06-30,2282,1,9595,10
2022-06-29,2479,2,10463,7
2022-06-28,2472,0,9896,5
2022-06-27,600,0,3429,3
2022-06-26,1310,1,6246,6
2022-06-25,1552,3,6790,18
2022-06-24,1605,1,7227,10
2022-06-23,1580,3,7497,14
2022-06-22,1778,3,8992,11
2022-06-21,2043,7,9310,12
2022-06-20,719,3,3538,10
2022-06-19,1108,1,6071,14
2022-06-18,1245,1,6842,11
2022-06-17,1280,1,7198,9
2022-06-16,1549,4,7994,8
2022-06-15,1690,3,9435,9
2022-06-14,1764,0,9778,2
2022-06-13,663,2,3828,17
2022-06-12,1160,1,7382,20
2022-06-11,1382,3,8378,10
2022-06-10,1537,2,9315,18
2022-06-09,2009,2,12161,18
2022-06-08,2628,0,13358,6
2022-06-07,952,5,6172,20
2022-06-06,738,2,5022,21
2022-06-05,1719,3,9835,20
2022-06-04,2254,2,12048,9
2022-06-03,2442,3,12542,17
2022-06-02,1823,1,9898,15
2022-06-01,2926,4,15797,21
2022-05-31,3340,1,17191,9
2022-05-30,1120,4,6139,9
2022-05-29,2018,2,12654,19
2022-05-28,2278,2,14398,36
2022-05-27,3032,7,16584,40
2022-05-26,2788,3,18816,34
2022-05-25,3586,4,23956,23
2022-05-24,4272,1,26344,19
2022-05-23,1213,4,9975,22
2022-05-22,2903,9,12928,54
2022-05-21,3589,3,23462,26
2022-05-20,4110,8,25125,43
2022-05-19,4557,7,28130,40
2022-05-18,5043,5,31352,31
2022-05-17,5889,3,35117,27
2022-05-16,1684,5,13296,35
2022-05-15,4025,12,25434,48
2022-05-14,4764,17,29581,55
2022-05-13,5178,14,32451,52
2022-05-12,5695,6,35906,63
2022-05-11,6208,4,43925,29
2022-05-10,8142,13,49933,62
2022-05-09,2715,2,20601,40
2022-05-08,5979,13,40064,71
2022-05-07,6641,26,39600,83
2022-05-06,3596,7,26714,48
2022-05-05,6645,17,42296,79
2022-05-04,7436,12,49064,72
2022-05-03,8709,3,51131,49
2022-05-02,2653,9,20084,83
2022-05-01,5462,16,37771,81
2022-04-30,6455,12,43286,70
2022-04-29,7726,21,50568,136
2022-04-28,9109,19,57464,122
2022-04-27,11517,14,76787,141
2022-04-26,13560,16,80361,82
2022-04-25,4763,16,34370,110
2022-04-24,10377,18,64725,109
2022-04-23,12352,16,75449,151
2022-04-22,13191,32,81058,206
2022-04-21,15192,24,90867,147
2022-04-20,18322,26,111319,166
2022-04-19,21819,19,118504,130
2022-04-18,7345,20,47743,132
2022-04-17,14805,22,93001,203
2022-04-16,18118,37,107916,273
2022-04-15,21450,40,125846,264
2022-04-14,24976,54,148443,318
2022-04-13,33076,24,195419,184
2022-04-12,39518,36,210755,171
2022-04-11,14247,46,90928,258
2022-04-10,28901,68,164481,329
2022-04-09,32320,58,185566,338
2022-04-08,36212,64,205333,373
2022-04-07,39888,45,224820,348
2022-04-06,52430,64,286294,371
2022-04-05,51500,29,266135,209
2022-04-04,20894,29,127190,218
2022-04-03,42109,47,234301,306
2022-04-02,48673,58,264103,339
2022-04-01,51717,45,280273,360
2022-03-31,60131,49,320743,375
2022-03-30,81824,61,424641,432
2022-03-29,66079,42,347554,237
2022-03-28,34190,40,187213,287
2022-03-27,59151,29,318130,282
2022-03-26,64026,36,335531,323
2022-03-25,66943,59,339514,393
2022-03-24,77770,61,395598,470
2022-03-23,101133,43,490881,291
2022-03-22,65033,46,353980,384
2022-03-21,41078,39,209169,329
2022-03-20,65870,44,334708,327
2022-03-19,82132,47,381454,319
2022-03-18,81997,41,407017,301
2022-03-17,128375,67,621266,429
2022-03-16,81395,26,400741,164
2022-03-15,66067,42,362338,0
2022-03-14,56807,24,309790,0
2022-03-13,67814,29,350190,0
2022-03-12,80437,46,383665,0
2022-03-11,56603,32,282987,0
2022-03-10,66859,31,327549,0
2022-03-09,74222,23,342446,0
2022-03-08,37484,25,202721,0
2022-03-07,39558,23,210716,0
2022-03-06,49450,26,243628,0
2022-03-05,53193,31,254327,0
2022-03-04,59269,34,266853,0
2022-03-03,43675,18,198803,0
2022-03-02,46933,18,219241,0
2022-03-01,27885,26,138993,0
2022-02-28,27973,36,139626,0
2022-02-27,35351,0,163566,0
2022-02-26,36829,0,166209,0
2022-02-25,35614,0,165890,0
2022-02-24,37172,0,170016,0
2022-02-23,41467,0,171452,0
2022-02-22,21807,0,99573,0
2022-02-21,20018,0,95362,0
2022-02-20,22102,0,104829,0
2022-02-19,23193,0,102211,0
2022-02-18,25651,0,109831,0
2022-02-17,19689,0,93135,0
2022-02-16,18879,0,90443,0
2022-02-15,12453,0,57177,0
2022-02-14,11599,0,54619,0
2022-02-13,11824,0,56431,0
2022-02-12,13198,0,54941,0
2022-02-11,11531,0,53926,0
2022-02-10,11875,0,54122,0
2022-02-09,11682,0,49567,0
2022-02-08,5910,0,36719,0
2022-02-07,6888,0,35286,0
2022-02-06,7821,0,38691,0
2022-02-05,8598,0,36362,0
2022-02-04,6160,0,27443,0
2022-02-03,5218,0,22907,0
2022-02-02,4209,0,20270,0
2022-02-01,4131,0,18343,0
2022-01-31,4193,0,17085,0
2022-01-30,4185,0,17532,0
2022-01-29,4199,0,17542,0
2022-01-28,3991,0,16096,0
2022-01-27,3429,0,14518,0
2022-01-26,3178,0,13012,0
2022-01-25,1724,0,8571,0
2022-01-24,1679,0,7513,0
2022-01-23,1694,0,7630,0
2022-01-22,1591,0,7009,0
2022-01-21,1552,0,6769,0
2022-01-20,1362,0,6603,0
2022-01-19,1231,0,5805,0
2022-01-18,763,0,4072,0
2022-01-17,790,0,3859,0
2022-01-16,925,0,4194,0
2022-01-15,912,0,4423,0
2022-01-14,939,0,4542,0
2022-01-13,978,0,4167,0
2022-01-12,1093,0,4388,0
2022-01-11,755,0,3097,0
2022-01-10,781,0,3007,0
2022-01-09,966,0,3376,0
2022-01-08,994,0,3510,0
2022-01-07,1038,0,3717,0
2022-01-06,1208,0,4126,0
2022-01-05,1412,0,4444,0
2022-01-04,938,0,3024,0
2022-01-03,993,0,3129,0
2022-01-02,1183,0,3833,0
2022-01-01,1464,0,4416,0
2021-12-31,1670,0,4875,0
2021-12-30,1722,0,5037,0
2021-12-29,1915,0,5409,0
2021-12-28,1290,0,3865,0
2021-12-27,1496,0,4207,0
2021-12-26,1917,0,5419,0
2021-12-25,2123,0,5842,0
2021-12-24,2346,0,6233,0
2021-12-23,2720,0,6919,0
2021-12-22,2805,0,7456,0
2021-12-21,1994,0,5202,0
2021-12-20,1908,0,5318,0
2021-12-19,2320,0,6236,0
2021-12-18,2794,0,7314,0
2021-12-17,2846,0,7435,0
2021-12-16,3057,0,7622,0
2021-12-15,3166,0,7850,0
2021-12-14,2062,0,5567,0
2021-12-13,2550,0,5817,0
2021-12-12,2528,0,6689,0
2021-12-11,2835,0,6977,0
2021-12-10,2800,0,7022,0
2021-12-09,2790,0,7102,0
2021-12-08,2901,0,7175,0
2021-12-07,2120,0,4954,0
2021-12-06,1408,0,4325,0
2021-12-05,2032,0,5128,0
